iter	RMSE
0	153.0287359
1	153.0287359
2	153.0287359
3	153.0287359
4	153.0287359
5	151.5853782
6	151.5641363
7	144.5974403
8	141.4909905
9	140.5064433
10	140.5064433
11	138.9113853
12	138.9113853
13	135.0800648
14	135.0800648
15	134.4982817
16	132.7539463
17	132.7539463
18	132.1596272
19	126.8510218
20	126.8510218
21	122.73736
22	121.7066238
23	120.9725786
24	119.3142419
25	115.4669753
26	115.4669753
27	115.4527735
28	115.205838
29	113.254186
30	112.5376119
31	112.5376119
32	112.5376119
33	112.2333472
34	110.6548119
35	110.0888972
36	108.2679272
37	108.201754
38	108.1537681
39	108.1537681
40	107.3095466
41	107.3095466
42	107.3095466
43	106.6769194
44	106.0206986
45	106.0206986
46	106.0173095
47	105.964775
48	105.8168256
49	104.3770737
50	104.3770737
51	104.2151512
52	103.3445158
53	102.7204399
54	102.6900156
55	102.6664825
56	101.4661029
57	101.4206941
58	101.4206941
59	101.3184711
60	100.8935739
61	100.8155789
62	99.30204001
63	98.57193324
64	98.54378572
65	98.53035895
66	95.7638735
67	95.76385961
68	95.7638546
69	95.7638546
70	95.7491122
71	95.72765153
72	95.72623354
73	95.72484749
74	95.72484749
75	95.30224253
76	92.86092373
77	92.8003499
78	90.85156236
79	90.85156236
80	88.66014567
81	86.06672197
82	85.90497242
83	85.90497242
84	85.90497242
85	85.90497242
86	85.90497242
87	85.82236526
88	85.79794538
89	85.79789647
90	85.72738995
91	85.69933253
92	80.47263442
93	80.45927732
94	80.45001488
95	79.92026931
96	79.48839768
97	73.93119867
98	73.66991684
99	73.66980831
100	73.66980824
101	73.6645356
102	73.05384817
103	73.04975979
104	73.0497597
105	72.88327827
106	72.88327822
107	72.76479554
108	72.73379858
109	72.73379857
110	72.73379856
111	72.67990112
112	72.67989153
113	72.3858259
114	72.3856767
115	72.38501305
116	67.07198164
117	67.06403028
118	67.06402959
119	66.10386627
120	65.94868818
121	65.94709237
122	65.94709218
123	65.74996166
124	65.74631999
125	65.742507
126	65.7375864
127	65.73603386
128	65.73603384
129	65.73603383
130	64.42789624
131	64.42729578
132	64.35895335
133	64.28576851
134	64.28546803
135	64.2823225
136	64.2823225
137	64.28165848
138	64.13018791
139	64.1301879
140	64.12965293
141	64.12965293
142	63.94510594
143	63.8873677
144	63.79752629
145	61.9485685
146	61.8789348
147	61.8789348
148	61.87740923
149	61.87740923
150	61.87740923
151	61.74463668
152	61.74346105
153	61.71892729
154	61.70476424
155	61.70432188
156	61.42692227
157	61.42692225
158	61.30405438
159	61.25267796
160	61.23069514
161	61.2234395
162	61.1986684
163	61.1986684
164	61.1421054
165	61.1421054
166	61.14039938
167	61.14033021
168	61.13666092
169	61.12515362
170	61.12269434
171	61.10486487
172	60.89270249
