iter	Passed	Remaining
0	2	2143
1	3	1438
2	4	1209
3	5	1087
4	6	1048
5	8	1064
6	9	1052
7	11	1092
8	12	1140
9	14	1142
10	15	1102
11	18	1188
12	19	1164
13	22	1262
14	23	1226
15	24	1207
16	26	1228
17	27	1210
18	28	1187
19	32	1257
20	33	1233
21	37	1310
22	38	1307
23	41	1334
24	44	1375
25	46	1375
26	47	1350
27	48	1333
28	49	1321
29	52	1336
30	54	1350
31	55	1329
32	56	1311
33	57	1304
34	61	1341
35	64	1358
36	66	1365
37	67	1356
38	69	1350
39	70	1338
40	71	1327
41	72	1313
42	73	1299
43	75	1302
44	77	1296
45	78	1281
46	79	1278
47	81	1272
48	83	1272
49	86	1301
50	87	1286
51	89	1283
52	93	1319
53	95	1314
54	96	1308
55	97	1300
56	101	1321
57	103	1319
58	104	1308
59	106	1311
60	107	1305
61	109	1308
62	114	1334
63	117	1348
64	118	1342
65	120	1341
66	122	1337
67	123	1326
68	124	1315
69	125	1303
70	126	1294
71	127	1292
72	129	1285
73	130	1276
74	131	1267
75	133	1267
76	135	1276
77	137	1275
78	140	1277
79	140	1267
80	146	1301
81	153	1340
82	154	1332
83	155	1321
84	155	1311
85	156	1301
86	158	1295
87	159	1291
88	160	1285
89	161	1276
90	163	1276
91	165	1270
92	167	1270
93	168	1262
94	169	1254
95	173	1269
96	175	1272
97	184	1320
98	187	1329
99	189	1324
100	190	1315
101	191	1310
102	195	1324
103	196	1317
104	197	1308
105	200	1313
106	201	1304
107	203	1305
108	205	1300
109	206	1292
110	206	1283
111	209	1288
112	210	1282
113	214	1287
114	215	1281
115	216	1275
116	233	1361
117	234	1355
118	235	1347
119	239	1357
120	242	1359
121	243	1353
122	244	1345
123	246	1342
124	247	1335
125	248	1329
126	249	1322
127	251	1320
128	252	1314
129	253	1308
130	262	1341
131	263	1334
132	266	1335
133	267	1329
134	268	1323
135	269	1317
136	270	1309
137	271	1303
138	273	1302
139	274	1295
140	276	1290
141	276	1283
142	278	1281
143	280	1275
144	282	1276
145	293	1316
146	296	1316
147	297	1309
148	298	1303
149	299	1297
150	300	1290
151	303	1294
152	305	1290
153	306	1286
154	308	1282
155	309	1276
156	314	1289
157	315	1283
158	318	1285
159	319	1279
160	321	1276
161	322	1271
162	325	1271
163	326	1264
164	327	1259
165	327	1252
166	328	1246
167	329	1240
168	331	1236
169	332	1232
170	333	1226
171	335	1225
172	339	1231
173	346	1246
174	358	1278
175	366	1297
176	367	1292
177	369	1289
178	370	1284
179	371	1279
180	372	1274
181	377	1283
182	386	1301
183	387	1295
184	388	1290
185	389	1286
186	391	1283
187	393	1282
188	395	1277
189	396	1273
190	397	1268
191	399	1266
192	400	1260
193	401	1255
194	403	1252
195	404	1247
196	424	1298
197	425	1292
198	425	1286
199	427	1282
200	428	1276
201	429	1272
202	435	1281
203	437	1278
204	438	1273
205	440	1268
206	440	1263
207	442	1260
208	445	1259
209	446	1255
210	451	1261
211	452	1255
212	454	1251
213	455	1246
214	455	1240
215	457	1237
216	459	1234
217	460	1229
218	461	1225
219	463	1221
220	464	1216
221	465	1212
222	466	1208
223	468	1203
224	469	1199
225	470	1195
226	471	1191
227	477	1197
228	478	1192
229	480	1192
230	487	1199
231	488	1194
232	490	1192
233	491	1188
234	492	1184
235	495	1183
236	496	1179
237	499	1179
238	500	1175
239	501	1171
240	503	1168
241	505	1165
242	507	1162
243	508	1157
244	511	1158
245	514	1158
246	515	1153
247	516	1149
248	523	1158
249	524	1154
250	525	1149
251	527	1146
252	528	1142
